split,tensor_index,source_index,binary_label,attack_name,true_label,clean_prediction,adversarial_prediction,clean_correct,attack_success,linf,l2
train,86,21000,1,fgsm,0,0,8,True,True,0.03137257695198059,1.7388430833816528
train,87,49417,1,cw,9,9,5,True,True,0.03403794765472412,0.47303465008735657
train,88,42186,1,cw,6,6,7,True,True,0.010006040334701538,0.22110436856746674
train,89,49238,1,pgd,9,9,0,True,True,0.03137260675430298,1.295094609260559
train,90,25283,1,fgsm,7,7,2,True,True,0.03137260675430298,1.7323392629623413
train,91,78,1,pgd,3,3,7,True,True,0.03137260675430298,1.4110392332077026
train,92,6899,1,pgd,1,1,8,True,True,0.03137260675430298,1.289994478225708
train,93,15568,1,pgd,2,2,4,True,True,0.03137257695198059,1.2680188417434692
train,94,11143,1,cw,5,5,3,True,True,0.00499996542930603,0.19785673916339874
train,95,35952,1,cw,0,0,8,True,True,0.00499996542930603,0.24439187347888947
train,96,37965,0,clean,3,3,3,True,False,0.0,0.0
train,97,33436,0,clean,6,6,6,True,False,0.0,0.0
train,98,30770,0,clean,8,8,8,True,False,0.0,0.0
train,99,9583,0,clean,1,1,1,True,False,0.0,0.0
train,100,35210,0,clean,8,8,8,True,False,0.0,0.0
train,101,4856,0,clean,1,1,1,True,False,0.0,0.0
train,102,8020,0,clean,5,5,5,True,False,0.0,0.0
train,103,44859,0,clean,3,3,3,True,False,0.0,0.0
train,104,4191,0,clean,8,8,8,True,False,0.0,0.0
train,105,19421,0,clean,6,6,6,True,False,0.0,0.0
train,106,34688,0,clean,7,7,7,True,False,0.0,0.0
train,107,29312,0,clean,7,7,7,True,False,0.0,0.0
train,108,20326,0,clean,3,3,3,True,False,0.0,0.0
train,109,17740,0,clean,5,5,5,True,False,0.0,0.0
train,110,4894,0,clean,7,7,7,True,False,0.0,0.0
train,111,20621,0,clean,2,2,2,True,False,0.0,0.0
train,112,37965,1,pgd,3,3,4,True,True,0.03137257695198059,1.3546277284622192
train,113,33436,1,cw,6,6,3,True,True,0.015006452798843384,0.39152243733406067
train,114,30770,1,cw,8,8,9,True,True,0.02614361047744751,0.323074072599411
train,115,9583,1,pgd,1,1,9,True,True,0.03137260675430298,1.4387824535369873
train,116,35210,1,cw,8,8,1,True,True,0.015017449855804443,0.5182288885116577
train,117,4856,1,fgsm,1,1,9,True,True,0.03137260675430298,1.7384804487228394
train,118,8020,1,pgd,5,5,2,True,True,0.03137257695198059,1.3351645469665527
train,119,44859,1,fgsm,3,3,4,True,True,0.03137260675430298,1.737993836402893
train,120,4191,1,fgsm,8,8,0,True,True,0.03137260675430298,1.738776683807373
train,121,19421,1,fgsm,6,6,3,True,True,0.03137257695198059,1.7388430833816528
train,122,34688,1,fgsm,7,7,4,True,True,0.03137260675430298,1.5640913248062134
train,123,29312,1,pgd,7,7,4,True,True,0.03137260675430298,1.444042682647705
train,124,20326,1,pgd,3,3,6,True,True,0.03137260675430298,1.4403876066207886
train,125,17740,1,cw,5,5,2,True,True,0.00499996542930603,0.23873573541641235
train,126,4894,1,cw,7,7,5,True,True,0.036619752645492554,0.5102604627609253
train,127,20621,1,pgd,2,2,0,True,True,0.03137257695198059,1.260140061378479
train,128,2614,0,clean,7,7,7,True,False,0.0,0.0
train,129,46726,0,clean,7,7,7,True,False,0.0,0.0
train,130,19045,0,clean,4,4,4,True,False,0.0,0.0
train,131,5668,0,clean,9,9,9,True,False,0.0,0.0
train,132,6159,0,clean,8,8,8,True,False,0.0,0.0
train,133,47718,0,clean,2,2,2,True,False,0.0,0.0
train,134,7907,0,clean,0,0,0,True,False,0.0,0.0
train,135,5294,0,clean,2,2,2,True,False,0.0,0.0
train,136,42872,0,clean,6,6,6,True,False,0.0,0.0
train,137,24855,0,clean,8,8,8,True,False,0.0,0.0
train,138,20370,0,clean,8,8,8,True,False,0.0,0.0
train,139,21209,0,clean,9,9,9,True,False,0.0,0.0
train,140,32223,0,clean,9,9,9,True,False,0.0,0.0
train,141,43179,0,clean,2,2,2,True,False,0.0,0.0
train,142,44262,0,clean,7,7,7,True,False,0.0,0.0
train,143,38506,0,clean,8,8,8,True,False,0.0,0.0
train,144,2614,1,fgsm,7,7,2,True,True,0.03137260675430298,1.7388430833816528
train,145,46726,1,fgsm,7,7,5,True,True,0.03137260675430298,1.6994966268539429
train,146,19045,1,pgd,4,4,2,True,True,0.03137260675430298,1.3890820741653442
train,147,5668,1,cw,9,9,1,True,True,0.01000148057937622,0.3485512137413025
train,148,6159,1,cw,8,8,0,True,True,0.015000790357589722,0.48010602593421936
train,149,47718,1,cw,2,2,4,True,True,0.00499996542930603,0.2538555860519409
train,150,7907,1,cw,0,0,1,True,True,0.00499996542930603,0.2458505630493164
train,151,5294,1,pgd,2,2,4,True,True,0.03137257695198059,1.3398462533950806
train,152,42872,1,fgsm,6,6,4,True,True,0.03137257695198059,1.7388430833816528
train,153,24855,1,fgsm,8,8,9,True,True,0.03137260675430298,1.6295427083969116
train,154,20370,1,fgsm,8,8,0,True,True,0.03137260675430298,1.7388430833816528
train,155,21209,1,pgd,9,9,1,True,True,0.03137260675430298,1.3943326473236084
train,156,32223,1,pgd,9,9,1,True,True,0.03137260675430298,1.2954424619674683
train,157,43179,1,cw,2,2,4,True,True,0.00499996542930603,0.23095107078552246
train,158,44262,1,fgsm,7,7,3,True,True,0.03137260675430298,1.7268978357315063
train,159,38506,1,fgsm,8,8,2,True,True,0.03137260675430298,1.7339807748794556
train,160,40214,0,clean,5,5,5,True,False,0.0,0.0
train,161,16895,0,clean,2,2,2,True,False,0.0,0.0
train,162,12328,0,clean,0,0,0,True,False,0.0,0.0
train,163,45173,0,clean,9,9,9,True,False,0.0,0.0
train,164,46138,0,clean,8,8,8,True,False,0.0,0.0
train,165,13520,0,clean,9,9,9,True,False,0.0,0.0
train,166,30459,0,clean,3,3,3,True,False,0.0,0.0
train,167,20165,0,clean,9,9,9,True,False,0.0,0.0
train,168,11227,0,clean,9,9,9,True,False,0.0,0.0
train,169,43731,0,clean,0,8,8,False,False,0.0,0.0
train,170,42697,0,clean,1,1,1,True,False,0.0,0.0
train,171,17911,0,clean,7,7,7,True,False,0.0,0.0
train,172,6857,0,clean,2,2,2,True,False,0.0,0.0
train,173,33366,0,clean,6,6,6,True,False,0.0,0.0
train,174,32393,0,clean,5,5,5,True,False,0.0,0.0
train,175,2860,0,clean,2,2,2,True,False,0.0,0.0
train,176,40214,1,fgsm,5,5,3,True,True,0.03137260675430298,1.7264167070388794
train,177,16895,1,pgd,2,2,5,True,True,0.03137257695198059,1.3368902206420898
train,178,12328,1,fgsm,0,0,2,True,True,0.03137260675430298,1.7315890789031982
train,179,45173,1,fgsm,9,9,2,True,True,0.03137260675430298,1.5475643873214722
train,180,46138,1,pgd,8,8,4,True,True,0.03137260675430298,1.337689995765686
train,181,13520,1,cw,9,9,1,True,True,0.04855048656463623,0.6749939322471619
train,182,30459,1,fgsm,3,3,6,True,True,0.03137257695198059,1.6985055208206177
train,183,20165,1,pgd,9,9,2,True,True,0.03137257695198059,1.43764066696167
train,184,11227,1,fgsm,9,9,1,True,True,0.03137260675430298,1.7369494438171387
train,185,43731,1,cw,0,8,8,False,False,0.00021755695343017578,0.0022888868115842342
train,186,42697,1,cw,1,1,9,True,True,0.010005265474319458,0.33417052030563354
train,187,17911,1,fgsm,7,7,5,True,True,0.03137260675430298,1.7176156044006348
train,188,6857,1,cw,2,2,4,True,True,0.00499996542930603,0.2183106243610382
train,189,33366,1,fgsm,6,6,4,True,True,0.03137257695198059,1.7388430833816528
train,190,32393,1,cw,5,5,7,True,True,0.010003983974456787,0.3508150279521942
train,191,2860,1,fgsm,2,2,3,True,True,0.03137260675430298,1.7388430833816528
train,192,19849,0,clean,7,7,7,True,False,0.0,0.0
train,193,43759,0,clean,5,5,5,True,False,0.0,0.0
train,194,3139,0,clean,6,6,6,True,False,0.0,0.0
train,195,6468,0,clean,8,8,8,True,False,0.0,0.0
train,196,29670,0,clean,4,4,4,True,False,0.0,0.0
train,197,7952,0,clean,2,2,2,True,False,0.0,0.0
train,198,25577,0,clean,8,8,8,True,False,0.0,0.0
train,199,16817,0,clean,3,3,3,True,False,0.0,0.0
train,200,27801,0,clean,4,4,4,True,False,0.0,0.0
train,201,28896,0,clean,1,1,1,True,False,0.0,0.0
train,202,19279,0,clean,9,9,9,True,False,0.0,0.0
train,203,5004,0,clean,5,5,5,True,False,0.0,0.0
train,204,19713,0,clean,8,8,8,True,False,0.0,0.0
train,205,33819,0,clean,0,0,0,True,False,0.0,0.0
train,206,49625,0,clean,8,8,8,True,False,0.0,0.0
train,207,2477,0,clean,9,9,9,True,False,0.0,0.0
train,208,19849,1,pgd,7,7,4,True,True,0.03137260675430298,1.3977503776550293
train,209,43759,1,cw,5,5,3,True,True,0.00499996542930603,0.19686934351921082
train,210,3139,1,fgsm,6,6,4,True,True,0.03137257695198059,1.7355455160140991
train,211,6468,1,fgsm,8,8,1,True,True,0.03137260675430298,1.7333465814590454
train,212,29670,1,fgsm,4,4,5,True,True,0.03137257695198059,1.7388430833816528
train,213,7952,1,pgd,2,2,7,True,True,0.03137260675430298,1.3319658041000366
train,214,25577,1,cw,8,8,0,True,True,0.00499996542930603,0.26160964369773865
train,215,16817,1,pgd,3,3,6,True,True,0.03137257695198059,1.264767050743103
train,216,27801,1,pgd,4,4,3,True,True,0.03137257695198059,1.381356954574585
train,217,28896,1,pgd,1,1,8,True,True,0.03137260675430298,1.3165171146392822
train,218,19279,1,fgsm,9,9,8,True,True,0.03137260675430298,1.7351112365722656
train,219,5004,1,fgsm,5,5,3,True,True,0.03137260675430298,1.7303096055984497
train,220,19713,1,fgsm,8,8,2,True,True,0.03137260675430298,1.7372725009918213
train,221,33819,1,fgsm,0,0,9,True,True,0.03137260675430298,1.7341315746307373
train,222,49625,1,pgd,8,8,1,True,True,0.03137260675430298,1.3415265083312988
train,223,2477,1,fgsm,9,9,1,True,True,0.03137260675430298,1.7183810472488403
train,224,25719,0,clean,0,0,0,True,False,0.0,0.0
train,225,37877,0,clean,0,0,0,True,False,0.0,0.0
train,226,13626,0,clean,2,0,0,False,False,0.0,0.0
train,227,23084,0,clean,6,6,6,True,False,0.0,0.0
train,228,1540,0,clean,0,0,0,True,False,0.0,0.0
train,229,35115,0,clean,8,8,8,True,False,0.0,0.0
train,230,38527,0,clean,6,6,6,True,False,0.0,0.0
train,231,48710,0,clean,6,6,6,True,False,0.0,0.0
train,232,22399,0,clean,1,1,1,True,False,0.0,0.0
train,233,1907,0,clean,1,1,1,True,False,0.0,0.0
train,234,35869,0,clean,7,7,7,True,False,0.0,0.0
train,235,26348,0,clean,9,9,9,True,False,0.0,0.0
train,236,49760,0,clean,7,7,7,True,False,0.0,0.0
train,237,43079,0,clean,7,7,7,True,False,0.0,0.0
train,238,14963,0,clean,5,5,5,True,False,0.0,0.0
train,239,46994,0,clean,4,4,4,True,False,0.0,0.0
train,240,25719,1,cw,0,0,9,True,True,0.00499996542930603,0.21257533133029938
train,241,37877,1,pgd,0,0,2,True,True,0.03137260675430298,1.4220136404037476
train,242,13626,1,fgsm,2,0,0,False,False,0.03137260675430298,1.732410192489624
train,243,23084,1,cw,6,6,2,True,True,0.00499996542930603,0.2419988512992859
train,244,1540,1,pgd,0,0,2,True,True,0.03137260675430298,1.381239652633667
train,245,35115,1,fgsm,8,8,2,True,True,0.03137260675430298,1.7384980916976929
train,246,38527,1,cw,6,6,8,True,True,0.00499996542930603,0.22548943758010864
train,247,48710,1,cw,6,6,5,True,True,0.00499996542930603,0.21587958931922913
train,248,22399,1,cw,1,1,8,True,True,0.010006427764892578,0.3950860798358917
train,249,1907,1,pgd,1,1,2,True,True,0.03137260675430298,1.3706086874008179
train,250,35869,1,fgsm,7,7,5,True,True,0.03137257695198059,1.7388430833816528
train,251,26348,1,pgd,9,9,1,True,True,0.03137260675430298,1.4596904516220093
train,252,49760,1,cw,7,7,5,True,True,0.00499996542930603,0.21431659162044525
train,253,43079,1,fgsm,7,7,3,True,True,0.03137260675430298,1.729882836341858
train,254,14963,1,pgd,5,5,4,True,True,0.03137260675430298,1.2765989303588867
train,255,46994,1,pgd,4,4,5,True,True,0.03137257695198059,1.3335548639297485
train,256,1499,0,clean,3,3,3,True,False,0.0,0.0
train,257,36242,0,clean,2,2,2,True,False,0.0,0.0
train,258,38017,0,clean,9,9,9,True,False,0.0,0.0
train,259,21469,0,clean,0,0,0,True,False,0.0,0.0
train,260,17152,0,clean,5,5,5,True,False,0.0,0.0
train,261,28914,0,clean,7,7,7,True,False,0.0,0.0
train,262,18402,0,clean,0,0,0,True,False,0.0,0.0
train,263,37833,0,clean,9,9,9,True,False,0.0,0.0
train,264,15968,0,clean,5,5,5,True,False,0.0,0.0
train,265,42387,0,clean,9,9,9,True,False,0.0,0.0
train,266,28214,0,clean,3,3,3,True,False,0.0,0.0
train,267,15104,0,clean,9,9,9,True,False,0.0,0.0
train,268,29119,0,clean,6,6,6,True,False,0.0,0.0
train,269,49456,0,clean,7,7,7,True,False,0.0,0.0
train,270,8253,0,clean,6,6,6,True,False,0.0,0.0
train,271,37588,0,clean,1,1,1,True,False,0.0,0.0
train,272,1499,1,cw,3,3,2,True,True,0.01642709970474243,0.15027154982089996
train,273,36242,1,fgsm,2,2,5,True,True,0.03137257695198059,1.7366173267364502
train,274,38017,1,pgd,9,9,1,True,True,0.03137257695198059,1.3741793632507324
train,275,21469,1,pgd,0,0,2,True,True,0.03137260675430298,1.3599501848220825
train,276,17152,1,fgsm,5,5,3,True,True,0.03137260675430298,1.7388430833816528
train,277,28914,1,cw,7,7,5,True,True,0.010005027055740356,0.4163331687450409
train,278,18402,1,cw,0,0,2,True,True,0.00499996542930603,0.2500022053718567
train,279,37833,1,fgsm,9,9,1,True,True,0.03137260675430298,1.737626552581787
train,280,15968,1,pgd,5,5,3,True,True,0.03137260675430298,1.407913327217102
train,281,42387,1,pgd,9,9,1,True,True,0.03137257695198059,1.3800218105316162
train,282,28214,1,fgsm,3,3,5,True,True,0.03137260675430298,1.698700189590454
train,283,15104,1,cw,9,9,0,True,True,0.00499996542930603,0.20990997552871704
train,284,29119,1,pgd,6,6,8,True,True,0.03137260675430298,1.3622126579284668
train,285,49456,1,fgsm,7,7,4,True,True,0.03137257695198059,1.738776683807373
train,286,8253,1,fgsm,6,6,9,True,True,0.03137260675430298,1.7388430833816528
train,287,37588,1,pgd,1,1,9,True,True,0.03137260675430298,1.3775871992111206
train,288,35879,0,clean,5,5,5,True,False,0.0,0.0
train,289,48267,0,clean,6,6,6,True,False,0.0,0.0
train,290,37108,0,clean,5,5,5,True,False,0.0,0.0
train,291,39875,0,clean,0,0,0,True,False,0.0,0.0
train,292,42220,0,clean,8,8,8,True,False,0.0,0.0
train,293,22170,0,clean,2,2,2,True,False,0.0,0.0
train,294,33422,0,clean,3,3,3,True,False,0.0,0.0
train,295,8464,0,clean,5,5,5,True,False,0.0,0.0
train,296,31904,0,clean,0,0,0,True,False,0.0,0.0
train,297,16734,0,clean,0,0,0,True,False,0.0,0.0
train,298,2006,0,clean,0,0,0,True,False,0.0,0.0
train,299,3612,0,clean,4,4,4,True,False,0.0,0.0
train,300,17250,0,clean,8,8,8,True,False,0.0,0.0
train,301,12881,0,clean,1,1,1,True,False,0.0,0.0
train,302,31430,0,clean,6,6,6,True,False,0.0,0.0
train,303,8397,0,clean,8,8,8,True,False,0.0,0.0
train,304,35879,1,cw,5,5,2,True,True,0.00499996542930603,0.17619936168193817
train,305,48267,1,pgd,6,6,4,True,True,0.03137257695198059,1.296215534210205
train,306,37108,1,pgd,5,5,3,True,True,0.03137257695198059,1.3575356006622314
train,307,39875,1,cw,0,0,9,True,True,0.00499996542930603,0.2337910234928131
train,308,42220,1,pgd,8,8,4,True,True,0.03137257695198059,1.294988751411438
train,309,22170,1,fgsm,2,2,4,True,True,0.03137260675430298,1.7388430833816528
train,310,33422,1,cw,3,3,5,True,True,0.029784679412841797,0.4056284725666046
train,311,8464,1,pgd,5,5,3,True,True,0.03137260675430298,1.4127979278564453
train,312,31904,1,pgd,0,0,2,True,True,0.03137257695198059,1.3915523290634155
train,313,16734,1,fgsm,0,0,2,True,True,0.03137257695198059,1.738776683807373
train,314,2006,1,cw,0,0,4,True,True,0.00499996542930603,0.21548917889595032
train,315,3612,1,cw,4,4,3,True,True,0.010004997253417969,0.3928341865539551
train,316,17250,1,cw,8,8,9,True,True,0.00499996542930603,0.22002053260803223
train,317,12881,1,pgd,1,1,8,True,True,0.03137260675430298,1.4357218742370605
train,318,31430,1,cw,6,6,3,True,True,0.015010058879852295,0.5487120747566223
train,319,8397,1,pgd,8,8,4,True,True,0.03137257695198059,1.2871795892715454
train,320,1606,0,clean,2,2,2,True,False,0.0,0.0
train,321,31774,0,clean,9,9,9,True,False,0.0,0.0
train,322,46893,0,clean,1,1,1,True,False,0.0,0.0
train,323,39589,0,clean,0,0,0,True,False,0.0,0.0
train,324,23145,0,clean,3,3,3,True,False,0.0,0.0
train,325,40123,0,clean,8,8,8,True,False,0.0,0.0
train,326,40387,0,clean,9,9,9,True,False,0.0,0.0
train,327,39598,0,clean,8,8,8,True,False,0.0,0.0
train,328,11974,0,clean,7,7,7,True,False,0.0,0.0
train,329,43837,0,clean,6,6,6,True,False,0.0,0.0
train,330,16665,0,clean,7,7,7,True,False,0.0,0.0
train,331,29953,0,clean,1,1,1,True,False,0.0,0.0
train,332,1738,0,clean,7,7,7,True,False,0.0,0.0
train,333,22288,0,clean,4,4,4,True,False,0.0,0.0
train,334,1179,0,clean,7,7,7,True,False,0.0,0.0
train,335,15459,0,clean,7,7,7,True,False,0.0,0.0
train,336,1606,1,cw,2,2,5,True,True,0.00499996542930603,0.2382366955280304
train,337,31774,1,cw,9,9,1,True,True,0.00499996542930603,0.24000675976276398
train,338,46893,1,pgd,1,1,9,True,True,0.03137260675430298,1.37235426902771
train,339,39589,1,pgd,0,0,2,True,True,0.03137260675430298,1.3521521091461182
train,340,23145,1,cw,3,3,5,True,True,0.00499996542930603,0.21121183037757874
train,341,40123,1,pgd,8,8,2,True,True,0.03137260675430298,1.4241085052490234
train,342,40387,1,fgsm,9,9,1,True,True,0.03137260675430298,1.7362276315689087
train,343,39598,1,fgsm,8,8,9,True,True,0.03137260675430298,1.738776683807373
train,344,11974,1,pgd,7,7,5,True,True,0.03137260675430298,1.3786914348602295
train,345,43837,1,pgd,6,6,9,True,True,0.03137257695198059,1.409601092338562
train,346,16665,1,fgsm,7,7,4,True,True,0.03137260675430298,1.7311758995056152
train,347,29953,1,cw,1,1,9,True,True,0.020038694143295288,0.6987446546554565
train,348,1738,1,fgsm,7,7,2,True,True,0.03137260675430298,1.7334574460983276
train,349,22288,1,cw,4,4,5,True,True,0.00499996542930603,0.2529352605342865
train,350,1179,1,fgsm,7,7,4,True,True,0.03137257695198059,1.7388430833816528
train,351,15459,1,fgsm,7,7,5,True,True,0.03137260675430298,1.7384406328201294
train,352,10378,0,clean,2,2,2,True,False,0.0,0.0
train,353,35760,0,clean,4,4,4,True,False,0.0,0.0
train,354,43672,0,clean,2,2,2,True,False,0.0,0.0
train,355,17550,0,clean,4,4,4,True,False,0.0,0.0
train,356,9328,0,clean,0,0,0,True,False,0.0,0.0
train,357,34575,0,clean,4,4,4,True,False,0.0,0.0
train,358,4565,0,clean,1,1,1,True,False,0.0,0.0
train,359,860,0,clean,8,8,8,True,False,0.0,0.0
train,360,15992,0,clean,0,0,0,True,False,0.0,0.0
train,361,16671,0,clean,2,2,2,True,False,0.0,0.0
train,362,18509,0,clean,6,6,6,True,False,0.0,0.0
train,363,2586,0,clean,8,8,8,True,False,0.0,0.0
train,364,26334,0,clean,8,8,8,True,False,0.0,0.0
train,365,28189,0,clean,9,9,9,True,False,0.0,0.0
train,366,25952,0,clean,7,7,7,True,False,0.0,0.0
train,367,26971,0,clean,5,5,5,True,False,0.0,0.0
train,368,10378,1,fgsm,2,2,8,True,True,0.03137260675430298,1.6680039167404175
train,369,35760,1,pgd,4,4,2,True,True,0.03137260675430298,1.3374533653259277
train,370,43672,1,cw,2,2,5,True,True,0.00499996542930603,0.2516513466835022
train,371,17550,1,fgsm,4,4,2,True,True,0.03137260675430298,1.7378920316696167
train,372,9328,1,fgsm,0,0,2,True,True,0.03137260675430298,1.697627067565918
train,373,34575,1,fgsm,4,4,2,True,True,0.03137260675430298,1.7385865449905396
train,374,4565,1,cw,1,1,9,True,True,0.019980818033218384,0.6820176839828491
train,375,860,1,fgsm,8,8,8,True,False,0.03137260675430298,1.6210694313049316
train,376,15992,1,pgd,0,0,8,True,True,0.03137260675430298,1.4144724607467651
train,377,16671,1,pgd,2,2,8,True,True,0.03137260675430298,1.3107317686080933
train,378,18509,1,cw,6,6,3,True,True,0.00499996542930603,0.20201465487480164
train,379,2586,1,cw,8,8,9,True,True,0.015006035566329956,0.5747194290161133
train,380,26334,1,cw,8,8,1,True,True,0.010005414485931396,0.3985585868358612
train,381,28189,1,fgsm,9,9,0,True,True,0.03137260675430298,1.7159225940704346
train,382,25952,1,fgsm,7,7,3,True,True,0.03137257695198059,1.7388430833816528
train,383,26971,1,pgd,5,5,7,True,True,0.03137257695198059,1.3276084661483765
train,384,24984,0,clean,8,8,8,True,False,0.0,0.0
train,385,1489,0,clean,7,7,7,True,False,0.0,0.0
train,386,27288,0,clean,7,7,7,True,False,0.0,0.0
train,387,37258,0,clean,8,8,8,True,False,0.0,0.0
train,388,4141,0,clean,0,0,0,True,False,0.0,0.0
train,389,49867,0,clean,5,5,5,True,False,0.0,0.0
train,390,32546,0,clean,7,7,7,True,False,0.0,0.0
train,391,39397,0,clean,0,0,0,True,False,0.0,0.0
train,392,29526,0,clean,7,7,7,True,False,0.0,0.0
